City  ,AirportCode  , AirportName  ,Country  , CountryAbbrev
'Aberdeen','APG','Phillips AAF','United States','US'
'Aberdeen','ABR','Municipal','United States','US'
'Abilene','DYS','Dyess AFB','United States','US'
'Abilene','ABI','Municipal','United States','US'
'Abingdon','VJI','Virginia Highlands','United States','US'
'Ada','ADT','Ada','United States','US'
'Adak Island','ADK','Adak Island Ns','United States','US'
'Adrian','ADG','Lenawee County','United States','US'
'Afton','AFO','Municipal','United States','US'
